Dataset,Algorithm,# points(n),# features(d),Error tolerance(epsilon),Dictionary size(k),# neighbours,error
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,824.00000,35.00000,13.09524,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,824.00000,30.00000,12.41497,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,824.00000,25.00000,12.15986,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,824.00000,20.00000,11.39456,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,824.00000,15.00000,10.45918,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,824.00000,10.00000,9.09864,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,824.00000,5.00000,7.14286,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,824.00000,1.00000,6.29252,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,443.00000,45.00000,22.28645,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,443.00000,40.00000,20.68080,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,443.00000,35.00000,18.68979,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,443.00000,30.00000,16.89146,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,443.00000,25.00000,15.22158,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,443.00000,20.00000,13.42325,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,443.00000,15.00000,11.04689,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,443.00000,10.00000,9.50546,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,443.00000,5.00000,8.41362,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,443.00000,1.00000,8.73475,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,428.00000,45.00000,22.13740,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,428.00000,40.00000,20.99237,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,428.00000,35.00000,19.33842,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,428.00000,30.00000,17.04835,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,428.00000,25.00000,15.45802,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,428.00000,20.00000,13.54962,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,428.00000,15.00000,11.25954,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,428.00000,10.00000,9.47837,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,428.00000,5.00000,8.39695,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,428.00000,1.00000,9.09669,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,973.00000,45.00000,12.95034,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,973.00000,40.00000,12.17137,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,973.00000,35.00000,11.29503,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,973.00000,30.00000,10.32132,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,973.00000,25.00000,10.02921,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,973.00000,20.00000,9.63973,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,973.00000,15.00000,8.47128,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,973.00000,10.00000,8.08179,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,973.00000,5.00000,7.10808,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,973.00000,1.00000,6.32911,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,384.00000,45.00000,25.06188,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,384.00000,40.00000,23.82426,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,384.00000,35.00000,21.90594,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,384.00000,30.00000,19.43069,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,384.00000,25.00000,17.07921,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,384.00000,20.00000,14.85149,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,384.00000,15.00000,13.36634,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,384.00000,10.00000,11.38614,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,384.00000,5.00000,10.14851,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,384.00000,1.00000,9.90099,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,190.00000,45.00000,36.07735,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,190.00000,40.00000,35.02762,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,190.00000,35.00000,34.36464,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,190.00000,30.00000,32.32044,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,190.00000,25.00000,30.16575,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,190.00000,20.00000,27.12707,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,190.00000,15.00000,24.30939,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,190.00000,10.00000,19.72376,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,190.00000,5.00000,14.97238,
